city,unit,model,outcome,target,spec,beta,se,z,pct,lo,hi,n,se_ratio_vs_naive,note,se_ratio_vs_cluster,beta_shift_vs_cluster,pct_shift_vs_cluster,lambda_spatial
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,d. Gaussian SEM on log rate,-0.026408008749958696,0.0026527762498578895,-9.954857199650135,-2.606236654489491,-3.111315622445532,-2.0985247189633904,18063,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,-0.00618254948562059
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,0. naive (independence),-0.07367562295003267,0.002359502330789829,-31.225068942979263,-7.102701751135687,-7.531325004218203,-6.672091685837145,18063,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,a. cluster-robust (primary),-0.07367562295003267,0.008082644905710886,-9.115286370922506,-7.102701751135687,-8.56278343363508,-5.619305289385313,18063,3.425571909905794,SEs clustered on block group,,,,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 500 m,-0.07367562295003267,0.0076389014253985385,-9.644792994064439,-7.102701751135687,-8.483222489422982,-5.701356006104463,18063,3.2375053525975805,Bartlett kernel in distance; point estimate unchanged,0.9450992236466041,,,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 1000 m,-0.07367562295003267,0.00875514958801213,-8.415118692079462,-7.102701751135687,-8.68322827077781,-5.494819204424428,18063,3.710591625091295,Bartlett kernel in distance; point estimate unchanged,1.0832035416805306,,,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 2000 m,-0.07367562295003267,0.009657989024587085,-7.628464141186222,-7.102701751135687,-8.844676372335858,-5.327438063974876,18063,4.093231398230547,Bartlett kernel in distance; point estimate unchanged,1.1949045315306528,,,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 4000 m,-0.07367562295003267,0.010387849883851417,-7.092480520397795,-7.102701751135687,-8.974983323835007,-5.191909465497535,18063,4.402559704348394,Bartlett kernel in distance; point estimate unchanged,1.2852042870906975,,,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,c. eigenvector spatial filter (50 EVs),-0.07490009484743752,0.007848826055249662,-9.542840460496743,-7.216382268683019,-8.632814603848038,-5.77799149678383,18063,3.3264752286226034,Moran eigenvectors as covariates; SEs still clustered,0.9710714929099488,-0.0012244718974048496,-0.11368051754733255,
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,d. Gaussian SEM on log rate,-0.021204625829682005,0.0018317817880122774,-11.575956245690048,-2.0981388424207936,-2.449004908368868,-1.7460108006608022,18063,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,0.16147482576208247
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,0. naive (independence),-0.06598351275813541,0.001955909132426211,-33.735469436806625,-6.38537013651701,-6.743562468598274,-6.025802009368331,13381,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,a. cluster-robust (primary),-0.06598351275813541,0.009235018661537189,-7.1449246803311075,-6.38537013651701,-8.064611017821665,-4.675457171603825,13381,4.7215990295426415,SEs clustered on block group,,,,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 500 m,-0.06598351275813541,0.008225727472443004,-8.021602098925191,-6.38537013651701,-7.8825634399444455,-4.863842810438324,13381,4.205577516906107,Bartlett kernel in distance; point estimate unchanged,0.8907104331799816,,,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 1000 m,-0.06598351275813541,0.009103390439477787,-7.24823495123214,-6.38537013651701,-8.040889426050624,-4.700046903677391,13381,4.654301311117388,Bartlett kernel in distance; point estimate unchanged,0.9857468374582048,,,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 2000 m,-0.06598351275813541,0.00952303108490181,-6.928835175467218,-6.38537013651701,-8.116494299255361,-4.621630861371262,13381,4.868851485492554,Bartlett kernel in distance; point estimate unchanged,1.031186988778286,,,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 4000 m,-0.06598351275813541,0.009074810431321446,-7.271062382790412,-6.38537013651701,-8.035738025194139,-4.705385154096209,13381,4.6396891761861045,Bartlett kernel in distance; point estimate unchanged,0.982652094588288,,,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,c. eigenvector spatial filter (50 EVs),-0.05963584886510211,0.008831901517304463,-6.752322673464689,-5.789245934262288,-7.406049499569867,-4.144211002276188,13381,4.515496845371806,Moran eigenvectors as covariates; SEs still clustered,0.9563490709648846,0.0063476638930332965,0.596124202254722,
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,d. Gaussian SEM on log rate,-0.021842211365231796,0.002917183894270063,-7.487430397560573,-2.160539757923796,-2.718358291568468,-1.5995226606959734,13381,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,0.7661210471819995
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,0. naive (independence),0.009871359542462715,0.0047192092558460885,2.091740163934078,0.9920242125520895,0.06219027023510737,1.9304986928979861,13381,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,a. cluster-robust (primary),0.009871359542462715,0.02545304954620071,0.38782620230023396,0.9920242125520895,-3.922652669894555,6.158103215582544,13381,5.393498818614547,SEs clustered on block group,,,,
